word,tags1,tags2
國民,HSK 5,TOCFL 5
國營,TOCFL 5,
國王,HSK 6,TOCFL 3
國產,HSK 6,TOCFL 5
國畫,HSK 7,
國立,TOCFL 4,
國籍,HSK 5,TOCFL 4
國語,TOCFL 3,
國防,HSK 7,TOCFL 5
國際,HSK 2,TOCFL 4
圍,HSK 3,TOCFL 4
圍巾,HSK 4,TOCFL 5
圍牆,HSK 7,TOCFL 5
圍繞,HSK 5,TOCFL 5
園,HSK 6,
園地,HSK 6,
園林,HSK 5,TOCFL 5
圓,HSK 4,TOCFL 2
圓形,HSK 7,TOCFL 4
圓滿,HSK 4,TOCFL 4
圓珠筆,HSK 6,
圖,HSK 3,TOCFL 3
圖像,HSK 7,
圖形,HSK 7,
圖書,HSK 6,TOCFL 4
圖書館,HSK 1,TOCFL 1
圖案,HSK 4,
圖片,HSK 2,TOCFL 1
圖畫,HSK 3,TOCFL 5
圖紙,HSK 7,
圖表,HSK 7,TOCFL 5
圖章,TOCFL 4,
圖騰,TOCFL 5,
團,HSK 3,TOCFL 4
團伙,HSK 7,
團員,HSK 7,TOCFL 5
團圓,HSK 7,TOCFL 3
團結,HSK 3,TOCFL 4
團聚,HSK 7,TOCFL 5
團長,HSK 5,
團隊,HSK 6,
團體,HSK 3,TOCFL 3
土,HSK 3,TOCFL 3
土匪,HSK 7,
土地,HSK 4,TOCFL 3
土壤,HSK 7,TOCFL 5
土生土長,HSK 7,
土豆,HSK 5,
在,HSK 1,TOCFL 1
在世,TOCFL 5,
在乎,HSK 4,TOCFL 4
在內,HSK 5,
在場,HSK 5,TOCFL 5
在家,HSK 1,
在座,TOCFL 5,
在意,HSK 7,TOCFL 3
在於,HSK 4,TOCFL 3
在線,HSK 7,
在職,HSK 7,
地,HSK 1,TOCFL 2
地上,HSK 1,
地下,HSK 4,TOCFL 3
地下室,HSK 6,
地下水,HSK 7,
地主,TOCFL 5,
地位,HSK 4,TOCFL 3
地勢,TOCFL 5,
地區,HSK 3,TOCFL 3
地名,HSK 6,
地圖,HSK 1,TOCFL 1
地址,HSK 4,TOCFL 2
地域,HSK 7,TOCFL 5
地帶,HSK 5,TOCFL 3
地形,HSK 5,TOCFL 3
地攤,TOCFL 3,
地方,HSK 1,TOCFL 1
地板,HSK 6,TOCFL 3
地步,HSK 7,TOCFL 5
地段,HSK 7,
地毯,HSK 7,TOCFL 4
地獄,HSK 7,TOCFL 5
地球,HSK 2,TOCFL 2
地理,HSK 7,TOCFL 3
地表,TOCFL 5,
地質,HSK 7,TOCFL 5
地道,HSK 7,
地鐵,HSK 2,TOCFL 1
地鐵站,HSK 2,
地震,HSK 5,TOCFL 4
地面,HSK 4,TOCFL 4
地點,HSK 1,TOCFL 3
均,TOCFL 5,
均勻,HSK 7,TOCFL 5
均衡,HSK 7,TOCFL 5
坐,HSK 1,TOCFL 1
坐下,HSK 1,
坐牢,TOCFL 5,
坐落,HSK 7,
坐鎮,TOCFL 5,
坑,HSK 7,
坡,HSK 6,
坦克,HSK 7,TOCFL 5
坦然,HSK 7,TOCFL 5
坦率,HSK 7,
坦白,HSK 7,
坦誠,HSK 7,
坪,TOCFL 3,
垂,HSK 7,TOCFL 5
垂直,TOCFL 5,
垂頭喪氣,HSK 7,
垃圾,HSK 4,TOCFL 3
型,HSK 4,
型態,TOCFL 5,
型號,HSK 4,
垮,HSK 7,
城,HSK 3,
城區,HSK 6,
城市,HSK 3,TOCFL 1
城牆,HSK 7,
城裡,HSK 5,
城鄉,HSK 6,
城鎮,HSK 6,
埋,HSK 6,TOCFL 4
埋伏,HSK 7,TOCFL 5
埋怨,HSK 7,
埋沒,HSK 7,
埋藏,HSK 7,
執意,HSK 7,
執政,TOCFL 5,
執法,HSK 7,
執照,HSK 7,TOCFL 5
執著,HSK 7,TOCFL 5
執行,HSK 5,TOCFL 4
培育,HSK 4,TOCFL 5
培訓,HSK 4,TOCFL 5
培訓班,HSK 4,
培養,HSK 4,TOCFL 3
基因,HSK 7,TOCFL 5
基地,HSK 5,TOCFL 5
基層,HSK 7,TOCFL 5
基於,HSK 7,
基本,HSK 3,TOCFL 3
基本上,HSK 3,TOCFL 4
基本功,HSK 7,
基準,HSK 7,
基督,TOCFL 5,
基督教,HSK 6,TOCFL 3
基礎,HSK 3,TOCFL 3
基金,HSK 5,TOCFL 4
堂,HSK 7,TOCFL 3
堂堂,TOCFL 5,
堅信,HSK 7,TOCFL 5
堅固,HSK 4,TOCFL 5
堅守,HSK 7,
堅定,HSK 5,TOCFL 4
堅實,HSK 7,
堅強,HSK 3,TOCFL 3
堅忍,TOCFL 5,
堅持,HSK 3,TOCFL 3
堅持不懈,HSK 7,
堅決,HSK 3,TOCFL 4
堅硬,HSK 7,TOCFL 5
堅韌,HSK 7,
堆,HSK 5,TOCFL 3
堆砌,HSK 7,
堆積,TOCFL 5,
堡壘,HSK 7,
堤,HSK 7,
堤壩,HSK 7,
堪稱,HSK 7,
報,HSK 3,TOCFL 4
報亭,HSK 7,
報仇,HSK 7,TOCFL 4
報價,TOCFL 5,
報刊,HSK 6,TOCFL 5
報到,HSK 3,TOCFL 4
報名,HSK 2,TOCFL 3
報告,HSK 3,TOCFL 2
報導,TOCFL 4,
報廢,HSK 7,
報復,HSK 7,TOCFL 5
報應,TOCFL 5,
報案,TOCFL 5,
報社,HSK 7,TOCFL 4
報答,HSK 5,TOCFL 4
報紙,HSK 2,TOCFL 1
報考,HSK 6,
報表,TOCFL 5,
報警,HSK 5,TOCFL 4
報道,HSK 3,
報酬,HSK 7,TOCFL 5
報銷,HSK 7,
報關,TOCFL 5,
報章,TOCFL 5,
場,HSK 2,TOCFL 3
場合,HSK 3,TOCFL 4
場地,HSK 6,TOCFL 4
場所,HSK 3,TOCFL 4
場景,HSK 6,
場次,TOCFL 5,
場面,HSK 5,TOCFL 5
場館,HSK 6,
堵,HSK 4,TOCFL 5
堵塞,HSK 7,TOCFL 5
堵車,HSK 4,
塊,HSK 1,TOCFL 1
塌,HSK 7,TOCFL 4
塑料,HSK 4,
塑料袋,HSK 4,
塑膠,TOCFL 5,
塑造,HSK 7,
塔,HSK 6,TOCFL 5
塗,HSK 7,TOCFL 5
塞,HSK 6,TOCFL 4
塞車,TOCFL 5,
填,HSK 4,TOCFL 3
填充,HSK 7,
填寫,HSK 7,
填空,HSK 4,
填補,HSK 7,
塵土,TOCFL 5,
境內,HSK 7,
境地,HSK 7,TOCFL 5
境外,HSK 7,
境界,HSK 7,
境遇,HSK 7,
墊,HSK 7,TOCFL 4
墊子,HSK 7,
墊底,HSK 7,
墓,HSK 6,
墓地,HSK 7,
墓碑,HSK 7,
墜,HSK 7,
增,HSK 5,
增值,HSK 6,TOCFL 5
增加,HSK 3,TOCFL 3
增多,HSK 5,
增大,HSK 5,
增強,HSK 5,TOCFL 5
增收,HSK 7,
增添,HSK 7,
增產,HSK 5,
增進,HSK 6,TOCFL 5
增長,HSK 3,TOCFL 4
墮胎,TOCFL 5,
墮落,HSK 7,
墳,HSK 7,
墳墓,HSK 7,TOCFL 5
墻,HSK 2,
壁畫,HSK 7,
壓,HSK 3,TOCFL 4
壓倒,HSK 7,
壓制,HSK 7,TOCFL 5
壓力,HSK 3,TOCFL 4
壓抑,HSK 7,
壓歲錢,TOCFL 5,
壓縮,HSK 7,TOCFL 5
壓迫,HSK 6,TOCFL 4
壞,HSK 1,TOCFL 1
壞事,HSK 7,
壞人,HSK 2,
壞處,HSK 2,TOCFL 3
壞蛋,TOCFL 4,
壟斷,HSK 7,TOCFL 5
壩,HSK 7,
士兵,HSK 4,TOCFL 5
士氣,HSK 7,
壯,HSK 7,TOCFL 4
壯大,HSK 7,
壯實,HSK 7,
壯膽,HSK 7,
壯觀,HSK 6,TOCFL 5
壯麗,HSK 7,TOCFL 5
壺,HSK 6,TOCFL 5
壽司,HSK 5,
壽命,HSK 7,TOCFL 4
壽星,TOCFL 5,
夏,TOCFL 2,
夏令營,HSK 7,
夏天,HSK 2,TOCFL 1
夏季,HSK 4,TOCFL 4
外,HSK 1,TOCFL 1
外交,HSK 3,TOCFL 4
外交官,HSK 4,
外企,HSK 7,
外來,HSK 6,
外公,HSK 7,TOCFL 3
外出,HSK 6,TOCFL 4
外力,TOCFL 5,
外匯,HSK 4,TOCFL 4
外國,HSK 1,TOCFL 2
外在,TOCFL 5,
外地,HSK 2,TOCFL 4
外套,HSK 4,TOCFL 2
外婆,HSK 7,TOCFL 3
外幣,HSK 6,
外形,HSK 7,
外援,HSK 7,
外文,HSK 3,TOCFL 3
外星人,HSK 7,
外界,HSK 5,TOCFL 4
外祖母,TOCFL 5,
外祖父,TOCFL 5,
外科,HSK 6,TOCFL 4
外籍,HSK 7,
外線,TOCFL 5,
外號,HSK 7,TOCFL 5
外行,HSK 7,TOCFL 4
外衣,HSK 6,
外表,HSK 7,TOCFL 5
外觀,HSK 6,TOCFL 4
外語,HSK 1,TOCFL 3
外貌,HSK 7,
外貿,HSK 7,TOCFL 5
外資,HSK 6,TOCFL 5
外賣,HSK 2,
外遇,TOCFL 5,
外邊,HSK 1,TOCFL 3
外部,HSK 6,TOCFL 4
外銷,TOCFL 5,
外面,HSK 3,TOCFL 1
外頭,HSK 6,TOCFL 4
多,HSK 1,TOCFL 1
多久,HSK 2,
多元,HSK 7,TOCFL 5
多功能,HSK 7,
多勞多得,HSK 7,
多半,HSK 6,TOCFL 4
多半兒,TOCFL 4,
多多,TOCFL 4,
多多少少,TOCFL 3,
多媒體,HSK 6,TOCFL 5
多寡,TOCFL 5,
多少,HSK 1,TOCFL 1
多年,HSK 4,
多年來,HSK 7,
多心,HSK 7,
多數,HSK 2,TOCFL 4
多方面,HSK 6,
多樣,HSK 4,
多次,HSK 4,
多種,HSK 4,
多虧,HSK 7,TOCFL 5
多謝,TOCFL 4,
多邊,HSK 7,
多雲,HSK 2,
多餘,HSK 7,
多麼,HSK 2,TOCFL 3
夜,HSK 2,TOCFL 2
夜以繼日,HSK 7,
夜市,HSK 7,TOCFL 3
夜晚,HSK 7,TOCFL 4
夜景,TOCFL 4,
夜校,HSK 7,
夜班,HSK 7,
夜總會,HSK 7,
夜裡,HSK 2,TOCFL 3
夜間,HSK 5,
夠,HSK 2,TOCFL 2
夠嗆,HSK 7,
夢,HSK 4,TOCFL 3
夢到,TOCFL 4,
夢幻,HSK 7,
夢想,HSK 4,TOCFL 4
夢見,HSK 4,TOCFL 5
大,HSK 1,TOCFL 1
大事,HSK 5,
大人,HSK 2,TOCFL 2
大伙兒,HSK 5,
大使,HSK 6,TOCFL 5
大使館,HSK 3,
大便,TOCFL 4,
大公無私,HSK 7,
大力,HSK 6,TOCFL 4
大包大攬,HSK 7,
大半,TOCFL 4,
大吃一驚,HSK 7,
大同小異,HSK 7,
大名鼎鼎,HSK 7,
大哥,HSK 4,TOCFL 4
大哥大,TOCFL 4,
大地,HSK 7,TOCFL 4
大型,HSK 4,TOCFL 4
大多,HSK 4,
大多數,HSK 2,TOCFL 3
大大,HSK 2,TOCFL 3
大大咧咧,HSK 7,
大夫,HSK 3,TOCFL 4
大姐,HSK 4,
大媽,HSK 4,
大嫂,TOCFL 4,
大學,HSK 1,TOCFL 1
大學生,HSK 1,TOCFL 2
大宗,HSK 7,
大家,HSK 2,TOCFL 1
大家庭,HSK 7,
大小,HSK 2,TOCFL 3
大局,HSK 7,
大巴,HSK 4,
大師,HSK 6,
大幅度,HSK 7,
大廈,HSK 7,
大廳,HSK 5,
大意,HSK 7,TOCFL 4
大批,HSK 6,
大數據,HSK 7,
大方,HSK 4,TOCFL 3
大於,HSK 5,
大會,HSK 4,TOCFL 3
大有,TOCFL 4,
大有可為,HSK 7,
大棚,HSK 7,
大概,HSK 3,TOCFL 3
大樓,HSK 4,TOCFL 2
大模大樣,HSK 7,
大款,HSK 7,
大氣,HSK 7,
大洋洲,TOCFL 5,
大海,HSK 2,
大清早,TOCFL 4,
大熊貓,HSK 5,
大爺,HSK 4,
大片,HSK 7,
大獎賽,HSK 5,
大眾,HSK 4,TOCFL 4
大筆,HSK 7,
大米,HSK 6,
大約,HSK 3,TOCFL 3
大綱,HSK 5,
大聲,HSK 2,TOCFL 2
大肆,HSK 7,
大腕兒,HSK 7,
大腦,HSK 5,TOCFL 4
大腿,TOCFL 4,
大膽,HSK 5,TOCFL 4
大臣,HSK 7,
大自然,HSK 2,TOCFL 4
大致,HSK 5,TOCFL 4
大街,HSK 6,TOCFL 4
大街小巷,HSK 7,
大衣,HSK 2,TOCFL 2
大規模,HSK 4,
大象,HSK 5,
大賽,HSK 6,
大道,HSK 6,TOCFL 5
大選,HSK 7,TOCFL 5
大部分,HSK 2,
大都,HSK 5,TOCFL 4
大量,HSK 2,TOCFL 4
大門,HSK 2,TOCFL 3
大陸,HSK 4,TOCFL 3
大隊,HSK 7,TOCFL 5
大雁,HSK 7,
大面積,HSK 7,
大驚小怪,HSK 7,
大體,HSK 7,
大體上,HSK 7,
天,HSK 1,TOCFL 1
天上,HSK 2,
天下,HSK 6,TOCFL 3
天主教,HSK 7,TOCFL 4
天使,HSK 7,
天分,HSK 7,
天地,HSK 7,
天堂,HSK 6,TOCFL 3
天天,TOCFL 3,
天平,HSK 7,
天性,HSK 7,TOCFL 5
天才,HSK 5,TOCFL 4
天敵,TOCFL 5,
天文,HSK 5,TOCFL 4
天橋,HSK 7,
天氣,HSK 1,TOCFL 1
天災,TOCFL 5,
天然,HSK 6,TOCFL 4
天然氣,HSK 5,TOCFL 5
天生,HSK 7,
天真,HSK 4,TOCFL 4
天空,HSK 3,TOCFL 4
天經地義,HSK 7,
天線,HSK 7,
天賦,HSK 7,
天長地久,HSK 7,
天鵝,HSK 7,
太,HSK 1,TOCFL 1
太太,HSK 2,TOCFL 1
太平,HSK 7,TOCFL 5
太極,HSK 7,
太極拳,HSK 7,TOCFL 5
太空,HSK 5,TOCFL 4
太陽,HSK 2,TOCFL 1
太陽能,HSK 6,
夫人,HSK 4,TOCFL 4
夫妻,HSK 4,TOCFL 4
夫婦,HSK 4,TOCFL 3
央求,TOCFL 5,
失,TOCFL 5,
失事,TOCFL 5,
失傳,HSK 7,
失利,HSK 7,
失去,HSK 3,TOCFL 3
失戀,HSK 7,TOCFL 3
失手,TOCFL 5,
失掉,TOCFL 4,
失控,HSK 7,
失效,HSK 7,
失敗,HSK 4,TOCFL 4
失明,HSK 7,TOCFL 5
失望,HSK 4,TOCFL 4
失業,HSK 4,TOCFL 4
失業率,HSK 7,
失眠,HSK 7,TOCFL 4
失落,HSK 7,TOCFL 5
失誤,HSK 5,
失蹤,HSK 7,TOCFL 5
失靈,HSK 7,TOCFL 5
夾,HSK 5,TOCFL 4
夾雜,TOCFL 5,
奇妙,HSK 6,TOCFL 5
奇怪,HSK 3,TOCFL 2
奇特,HSK 7,
奇異,TOCFL 5,
奇花異草,HSK 7,
奇觀,TOCFL 5,
奇跡,HSK 7,
奇蹟,TOCFL 5,
奉獻,HSK 6,TOCFL 5
奉養,TOCFL 5,
奏,HSK 6,
奏效,HSK 7,
契機,HSK 7,TOCFL 5
契約,HSK 7,
奔,HSK 7,TOCFL 4
奔波,HSK 7,
奔赴,HSK 7,
奔跑,HSK 6,TOCFL 4
奔騰,TOCFL 5,
套,HSK 2,TOCFL 3
套房,TOCFL 5,
套裝,TOCFL 5,
套餐,HSK 4,
奠定,HSK 7,TOCFL 5
奢侈,HSK 7,TOCFL 5
奢望,HSK 7,TOCFL 5
奧妙,TOCFL 5,
奧祕,HSK 7,
奧運會,HSK 7,
奪,HSK 6,TOCFL 4
奪冠,HSK 7,
奪取,HSK 6,
奪魁,HSK 7,TOCFL 5
奮力,HSK 7,
奮勇,HSK 7,
奮鬥,HSK 4,TOCFL 4
女,HSK 1,TOCFL 1
女人,HSK 1,TOCFL 2
女兒,HSK 1,TOCFL 1
女士,HSK 4,TOCFL 3
女婿,HSK 7,
女子,HSK 3,
女孩兒,HSK 1,
女性,HSK 5,TOCFL 4
女方,TOCFL 5,
女朋友,HSK 1,
女生,HSK 1,TOCFL 1
奴隸,HSK 7,TOCFL 5
奶,HSK 1,TOCFL 3
奶奶,HSK 1,TOCFL 2
奶牛,HSK 6,
奶粉,HSK 6,TOCFL 4
奶茶,HSK 3,TOCFL 3
奸詐,HSK 7,
她,HSK 1,TOCFL 1
她們,HSK 1,TOCFL 1
好,HSK 1,TOCFL 1
好久,HSK 2,
好了,TOCFL 3,
好事,HSK 2,
好些,TOCFL 3,
好人,HSK 2,
好似,HSK 6,
好像,HSK 2,TOCFL 2
好友,HSK 4,
好受,TOCFL 5,
好吃,HSK 1,TOCFL 1
好在,HSK 7,TOCFL 4
好壞,HSK 7,
好多,HSK 2,
好奇,HSK 3,TOCFL 4
好奇心,HSK 7,
好好,HSK 3,TOCFL 3
好好兒,TOCFL 3,
好學,HSK 6,
好客,HSK 7,TOCFL 4
好家伙,HSK 7,
好容易,HSK 6,
好幾,TOCFL 3,
好心,HSK 7,
好心人,HSK 7,
好意,HSK 7,
好感,HSK 7,
好手,TOCFL 5,
好歹,HSK 7,
好比,HSK 7,TOCFL 5
好玩兒,HSK 1,
好看,HSK 1,TOCFL 1
好笑,HSK 7,
好聽,HSK 1,
好處,HSK 2,TOCFL 3
好評,HSK 7,
好說,HSK 7,
好轉,HSK 6,
好運,HSK 5,
如,HSK 6,TOCFL 3
如一,HSK 6,
如下,HSK 5,TOCFL 3
如今,HSK 4,TOCFL 4
如何,HSK 3,TOCFL 4
如同,HSK 5,TOCFL 4
如實,HSK 7,
如意,HSK 7,TOCFL 3
如果,HSK 2,TOCFL 2
如果說,HSK 7,TOCFL 4
如此,HSK 5,TOCFL 3
如醉如痴,HSK 7,
如願以償,HSK 7,
妄想,HSK 7,
妒忌,HSK 7,
妖怪,HSK 7,
妙,HSK 6,TOCFL 4
妥,HSK 7,
妥協,HSK 7,TOCFL 4
妥善,HSK 7,TOCFL 4
妥當,HSK 7,TOCFL 4
妨害,HSK 7,
妨礙,HSK 7,TOCFL 5
妳,TOCFL 1,
妳們,TOCFL 1,
妹妹,HSK 1,TOCFL 1
妻子,HSK 4,TOCFL 4
姊妹,TOCFL 3,
姊姊,TOCFL 1,
始終,HSK 3,TOCFL 4
姐妹,HSK 4,
姐姐,HSK 1,TOCFL 1
姑丈,TOCFL 4,
姑姑,HSK 6,TOCFL 4
姑娘,HSK 3,TOCFL 3
姓,HSK 2,TOCFL 1
姓名,HSK 2,TOCFL 1
姓氏,HSK 7,
委員,HSK 7,TOCFL 4
委員會,HSK 7,
委婉,HSK 7,
委屈,HSK 7,TOCFL 4
委託,HSK 5,TOCFL 4
姜,HSK 7,
姥姥,HSK 7,
姥爺,HSK 7,
姨,HSK 7,
姿勢,HSK 7,TOCFL 5
姿態,HSK 7,TOCFL 5
威信,HSK 7,
威力,HSK 7,TOCFL 5
威懾,HSK 7,
威脅,HSK 6,TOCFL 4
威風,HSK 7,TOCFL 5
娃娃,HSK 6,TOCFL 3
娘,HSK 7,TOCFL 5
娘家,TOCFL 5,
娛樂,HSK 6,TOCFL 4
娶,HSK 7,TOCFL 4
婆婆,TOCFL 4,
婆家,TOCFL 5,
婚姻,HSK 7,TOCFL 3
婚禮,HSK 4,TOCFL 3
婚紗,HSK 7,
婦人,TOCFL 5,
婦女,HSK 6,TOCFL 4
媒體,HSK 3,TOCFL 5
媲美,HSK 7,
媳婦,HSK 7,TOCFL 4
媽媽,HSK 1,TOCFL 1
嫁,HSK 7,TOCFL 4
嫁妝,HSK 7,
嫂子,HSK 7,TOCFL 5
嫉妒,HSK 7,TOCFL 5
嫌,HSK 6,TOCFL 4
嫌棄,HSK 7,
嫌疑,HSK 7,TOCFL 5
嫦娥,HSK 7,
嫩,HSK 7,
嬉笑,HSK 7,
嬌慣,HSK 7,
嬌氣,HSK 7,
嬰兒,HSK 7,TOCFL 4
子,HSK 1,
子女,HSK 3,TOCFL 4
子孫,HSK 7,TOCFL 5
子弟,HSK 7,TOCFL 5
子彈,HSK 5,TOCFL 5
孔,TOCFL 5,
孕婦,HSK 7,TOCFL 5
孕育,HSK 7,
字,HSK 1,TOCFL 1
字典,HSK 2,TOCFL 2
字幕,HSK 7,TOCFL 4
字樣,TOCFL 5,
字母,HSK 4,TOCFL 4
字眼,HSK 7,
字眼/字眼兒,TOCFL 5,
字跡,HSK 7,
字體,HSK 7,TOCFL 5
存,HSK 3,TOCFL 3
存在,HSK 3,TOCFL 3
存心,HSK 7,
存折,HSK 7,
存放,HSK 7,
存款,HSK 5,TOCFL 4
存貨,TOCFL 5,
孝子,TOCFL 5,
孝敬,HSK 7,
孝順,HSK 7,TOCFL 3
季,HSK 4,
季度,HSK 4,
季節,HSK 4,TOCFL 3
季風,TOCFL 5,
孤兒,HSK 6,TOCFL 5
孤單,HSK 7,TOCFL 4
孤獨,HSK 6,TOCFL 5
孤立,HSK 7,TOCFL 5
孤陋寡聞,HSK 7,
孤零零,HSK 7,
孩子,HSK 1,TOCFL 1
孫女,HSK 4,TOCFL 4
孫子,HSK 4,TOCFL 4
孵化,HSK 7,
學,HSK 1,TOCFL 1
學位,HSK 5,TOCFL 4
學分,HSK 4,TOCFL 5
學制,TOCFL 5,
學員,HSK 6,TOCFL 5
學問,HSK 4,TOCFL 3
學堂,HSK 7,
學士,HSK 7,
學子,HSK 7,
學年,HSK 4,TOCFL 5
學徒,TOCFL 5,
學時,HSK 4,
學會,HSK 6,TOCFL 3
學期,HSK 2,TOCFL 2
學校,HSK 1,TOCFL 1
學業,HSK 7,TOCFL 4
學歷,HSK 7,TOCFL 4
學生,HSK 1,TOCFL 1
學科,HSK 5,TOCFL 5
學習,HSK 1,TOCFL 1
學者,HSK 5,TOCFL 4
學藝,HSK 7,
學術,HSK 4,TOCFL 4
學說,HSK 7,TOCFL 5
學識,TOCFL 5,
學費,HSK 3,TOCFL 2
學院,HSK 1,TOCFL 2
孿生,HSK 7,
它,HSK 2,TOCFL 3
它們,HSK 2,TOCFL 3
宇宙,HSK 7,TOCFL 5
宇航員,HSK 6,
守,HSK 4,TOCFL 5
守候,HSK 7,
守株待兔,HSK 7,
守護,HSK 7,TOCFL 5
安,HSK 4,
安全,HSK 2,TOCFL 2
安定,HSK 7,TOCFL 3
安寧,HSK 7,TOCFL 5
安心,HSK 7,TOCFL 3
安慰,HSK 5,TOCFL 4
安排,HSK 3,TOCFL 3
安撫,HSK 7,TOCFL 5
安檢,HSK 6,
安眠藥,HSK 7,
安穩,HSK 7,
安置,HSK 4,TOCFL 5
安裝,HSK 3,TOCFL 4
安詳,TOCFL 5,
安逸,HSK 7,
安靜,HSK 2,TOCFL 1
安頓,TOCFL 5,
完,HSK 2,TOCFL 2
完了,HSK 5,
完備,HSK 7,TOCFL 5
完全,HSK 2,TOCFL 3
完善,HSK 3,TOCFL 4
完好,HSK 7,
完成,HSK 2,TOCFL 3
完整,HSK 3,TOCFL 4
完畢,HSK 7,TOCFL 4
完美,HSK 3,TOCFL 5
完蛋,HSK 7,
宏偉,HSK 7,TOCFL 5
宏大,HSK 6,
宏觀,HSK 7,
宗,HSK 7,
宗教,HSK 6,TOCFL 3
宗旨,HSK 7,TOCFL 5
官,HSK 4,TOCFL 5
官僚,HSK 7,
官僚主義,HSK 7,
官兵,HSK 7,
官司,HSK 6,TOCFL 5
官吏,HSK 7,
官員,HSK 7,TOCFL 4
官方,HSK 4,TOCFL 4
定,HSK 4,
定位,HSK 6,
定做,HSK 7,
定價,HSK 6,
定向,HSK 7,
定居,HSK 7,
定心丸,HSK 7,
定時,HSK 6,
定期,HSK 3,TOCFL 4
定為,HSK 7,
定義,HSK 7,TOCFL 5
定論,HSK 7,
定金,HSK 7,
定額,TOCFL 5,
客人,HSK 2,TOCFL 2
客廳,HSK 5,TOCFL 1
客戶,HSK 5,TOCFL 4
客房,HSK 7,TOCFL 4
客機,HSK 7,TOCFL 5
客氣,HSK 5,TOCFL 2
客流,HSK 7,
客滿,TOCFL 3,
客觀,HSK 3,TOCFL 4
客車,HSK 6,
客運,HSK 7,
宣傳,HSK 3,TOCFL 4
宣告,HSK 7,TOCFL 5
宣布,HSK 3,TOCFL 4
宣揚,HSK 7,TOCFL 5
宣泄,HSK 7,
宣示,TOCFL 5,
宣稱,HSK 7,TOCFL 5
宣言,HSK 7,TOCFL 5
宣誓,HSK 7,TOCFL 5
宣讀,HSK 7,
室,HSK 3,
室友,TOCFL 5,
宮,HSK 6,
宮廷,HSK 7,
宮殿,HSK 7,TOCFL 5
宰,HSK 7,
害,HSK 5,TOCFL 3
害怕,HSK 3,TOCFL 3
害羞,HSK 7,TOCFL 2
害臊,HSK 7,
害處,TOCFL 4,
害蟲,HSK 7,TOCFL 5
宴會,HSK 6,TOCFL 4
宵夜,TOCFL 4,
家,HSK 1,TOCFL 1
家事,TOCFL 4,
家人,HSK 1,TOCFL 1
家伙,HSK 7,
家具,HSK 3,TOCFL 1
家務,HSK 4,
家喻戶曉,HSK 7,
家園,HSK 6,
家境,HSK 7,
家家戶戶,HSK 7,TOCFL 5
家屬,HSK 3,TOCFL 5
家庭,HSK 2,TOCFL 2
家政,HSK 7,
家教,HSK 7,
家族,HSK 7,
家用,HSK 7,
家禽,HSK 7,
家裡,HSK 1,
家鄉,HSK 3,TOCFL 3
家長,HSK 2,TOCFL 3
家電,HSK 6,TOCFL 5
容,TOCFL 4,
容光煥發,HSK 7,
容器,TOCFL 5,
容忍,HSK 7,
容易,HSK 3,TOCFL 1
容納,HSK 7,TOCFL 5
容許,HSK 7,TOCFL 5
容量,HSK 7,TOCFL 5
容顏,HSK 7,
宿舍,HSK 5,TOCFL 2
寂寞,HSK 7,TOCFL 4
寂靜,HSK 7,
寄,HSK 4,TOCFL 1
寄託,HSK 7,
密,HSK 4,TOCFL 4
密不可分,HSK 7,
密切,HSK 4,TOCFL 3
密封,HSK 7,
密度,HSK 7,
密碼,HSK 4,
密集,HSK 7,TOCFL 5
富,HSK 3,TOCFL 4
富人,HSK 6,
富含,HSK 7,
富強,HSK 7,
富有,HSK 6,TOCFL 5
富翁,HSK 7,
富裕,HSK 7,TOCFL 4
富豪,HSK 7,
富貴,TOCFL 5,
富足,HSK 7,
寒假,HSK 4,TOCFL 2
寒冷,HSK 4,TOCFL 4
寓意,HSK 7,
寓言,HSK 7,TOCFL 5
察看,HSK 7,
察覺,HSK 7,TOCFL 5
寡婦,HSK 7,TOCFL 5
寢室,HSK 7,TOCFL 4
寥寥無幾,HSK 7,
實事求是,HSK 7,
實例,TOCFL 5,
實力,HSK 3,TOCFL 3
實在,HSK 2,TOCFL 3
實地,HSK 7,TOCFL 5
實惠,HSK 5,
實施,HSK 4,TOCFL 4
實況,HSK 7,TOCFL 5
實物,HSK 7,
實現,HSK 2,TOCFL 4
實用,HSK 4,TOCFL 4
實習,HSK 2,TOCFL 5
實行,HSK 3,TOCFL 3
實話,HSK 7,TOCFL 3
實話實說,HSK 7,
實證,TOCFL 5,
實質,HSK 7,TOCFL 5
實踐,HSK 6,TOCFL 5
實際,HSK 2,TOCFL 3
實際上,HSK 3,
實驗,HSK 3,TOCFL 4
實驗室,HSK 3,
實體,HSK 7,
寧可,HSK 7,TOCFL 4
寧靜,HSK 4,
寧願,HSK 7,TOCFL 4
審,HSK 7,
審判,HSK 7,TOCFL 5
審定,HSK 7,
審慎,TOCFL 5,
審批,HSK 7,
審查,HSK 6,TOCFL 4
審核,HSK 7,TOCFL 5
審視,HSK 7,
審美,HSK 7,
審議,TOCFL 5,
寫,HSK 1,TOCFL 1
寫作,HSK 3,TOCFL 5
寫字樓,HSK 6,
寫字檯,HSK 6,
寫實,TOCFL 5,
寫照,HSK 7,
寬,HSK 4,TOCFL 3
寬厚,HSK 7,
寬容,HSK 7,
寬度,HSK 5,TOCFL 4
寬廣,HSK 4,TOCFL 5
